TestID,TestName,Answer
1,Math,4
1,Math,3
1,Math,2
1,Math,3
1,Math,3
1,Math,1
1,Math,3
1,Math,4
1,Math,2
1,Math,4
1,Math,1
1,Math,1
1,Math,3
1,Math,2
1,Math,4
1,Math,2
1,Math,1
1,Math,1
1,Math,4
1,Math,2
1,Math,3
1,Math,4
1,Math,3
1,Math,4
2,Math,4
2,Math,1
2,Math,2
2,Math,3
2,Math,3
2,Math,3
2,Math,1
2,Math,1
2,Math,1
2,Math,2
2,Math,2
2,Math,2
2,Math,1
2,Math,1
2,Math,3
2,Math,1
2,Math,3
2,Math,3
2,Math,4
2,Math,4
2,Math,3
2,Math,4
2,Math,2
2,Math,4
3,Math,2
3,Math,1
3,Math,4
3,Math,1
3,Math,4
3,Math,3
3,Math,2
3,Math,3
3,Math,2
3,Math,3
3,Math,4
3,Math,2
3,Math,3
3,Math,1
3,Math,3
3,Math,2
3,Math,1
3,Math,4
3,Math,2
3,Math,2
3,Math,4
3,Math,3
3,Math,1
3,Math,1
4,Math,1
4,Math,1
4,Math,3
4,Math,2
4,Math,2
4,Math,4
4,Math,4
4,Math,1
4,Math,2
4,Math,3
4,Math,1
4,Math,2
4,Math,3
4,Math,2
4,Math,4
4,Math,4
4,Math,4
4,Math,2
4,Math,1
4,Math,3
4,Math,3
4,Math,3
4,Math,4
4,Math,2
5,Math,1
5,Math,3
5,Math,3
5,Math,2
5,Math,3
5,Math,2
5,Math,4
5,Math,4
5,Math,3
5,Math,3
5,Math,1
5,Math,4
5,Math,1
5,Math,2
5,Math,1
5,Math,2
5,Math,2
5,Math,4
5,Math,1
5,Math,2
5,Math,4
5,Math,1
5,Math,4
5,Math,3
6,Math,4
6,Math,3
6,Math,4
6,Math,2
6,Math,4
6,Math,2
6,Math,3
6,Math,4
6,Math,4
6,Math,1
6,Math,4
6,Math,1
6,Math,3
6,Math,1
6,Math,1
6,Math,1
6,Math,3
6,Math,3
6,Math,4
6,Math,2
6,Math,2
6,Math,2
6,Math,4
6,Math,3
7,Math,2
7,Math,2
7,Math,3
7,Math,2
7,Math,3
7,Math,2
7,Math,1
7,Math,1
7,Math,4
7,Math,4
7,Math,4
7,Math,3
7,Math,1
7,Math,1
7,Math,3
7,Math,2
7,Math,2
7,Math,1
7,Math,4
7,Math,2
7,Math,4
7,Math,4
7,Math,4
7,Math,3
8,Math,4
8,Math,2
8,Math,4
8,Math,1
8,Math,3
8,Math,2
8,Math,3
8,Math,2
8,Math,3
8,Math,4
8,Math,2
8,Math,3
8,Math,1
8,Math,4
8,Math,3
8,Math,2
8,Math,4
8,Math,2
8,Math,3
8,Math,1
8,Math,4
8,Math,2
8,Math,4
8,Math,4
10,Math,3
10,Math,4
10,Math,3
10,Math,1
10,Math,4
10,Math,3
10,Math,4
10,Math,1
10,Math,2
10,Math,3
10,Math,2
10,Math,4
10,Math,2
10,Math,4
10,Math,1
10,Math,1
10,Math,2
10,Math,4
10,Math,2
10,Math,1
10,Math,4
10,Math,3
10,Math,2
10,Math,4
11,Math,2
11,Math,3
11,Math,1
11,Math,2
11,Math,1
11,Math,4
11,Math,2
11,Math,2
11,Math,3
11,Math,1
11,Math,2
11,Math,4
11,Math,2
11,Math,4
11,Math,4
11,Math,3
11,Math,4
11,Math,4
11,Math,1
11,Math,2
11,Math,4
11,Math,3
11,Math,2
11,Math,1
12,Math,2
12,Math,1
12,Math,1
12,Math,2
12,Math,2
12,Math,3
12,Math,1
12,Math,1
12,Math,4
12,Math,2
12,Math,1
12,Math,2
12,Math,1
12,Math,3
12,Math,3
12,Math,4
12,Math,3
12,Math,4
12,Math,1
12,Math,3
12,Math,4
12,Math,4
12,Math,1
12,Math,4
13,Math,1
13,Math,3
13,Math,3
13,Math,1
13,Math,3
13,Math,3
13,Math,3
13,Math,4
13,Math,4
13,Math,2
13,Math,4
13,Math,1
13,Math,4
13,Math,4
13,Math,3
13,Math,4
13,Math,1
13,Math,1
13,Math,4
13,Math,2
13,Math,2
13,Math,1
13,Math,1
13,Math,3
14,Math,3
14,Math,4
14,Math,2
14,Math,2
14,Math,4
14,Math,2
14,Math,4
14,Math,1
14,Math,4
14,Math,1
14,Math,1
14,Math,3
14,Math,1
14,Math,3
14,Math,2
14,Math,4
14,Math,2
14,Math,3
14,Math,1
14,Math,4
14,Math,1
14,Math,2
14,Math,3
14,Math,1
9,Math,2
9,Math,1
9,Math,1
9,Math,2
9,Math,2
9,Math,3
9,Math,1
9,Math,1
9,Math,4
9,Math,2
9,Math,1
9,Math,2
9,Math,1
9,Math,3
9,Math,3
9,Math,4
9,Math,3
9,Math,4
9,Math,1
9,Math,3
9,Math,4
9,Math,4
9,Math,1
9,Math,4
16,English,3
16,English,1
16,English,2
16,English,2
16,English,4
16,English,4
16,English,3
16,English,2
16,English,1
16,English,3
16,English,4
16,English,2
16,English,3
16,English,3
16,English,1
16,English,2
16,English,1
16,English,4
16,English,2
16,English,3
16,English,1
16,English,4
16,English,3
16,English,1
17,English,1
17,English,2
17,English,4
17,English,3
17,English,1
17,English,4
17,English,3
17,English,1
17,English,1
17,English,3
17,English,1
17,English,3
17,English,4
17,English,2
17,English,3
17,English,4
17,English,1
17,English,3
17,English,2
17,English,4
17,English,1
17,English,2
17,English,2
17,English,3
18,English,3
18,English,4
18,English,1
18,English,4
18,English,1
18,English,2
18,English,1
18,English,4
18,English,2
18,English,4
18,English,4
18,English,4
18,English,1
18,English,1
18,English,2
18,English,1
18,English,4
18,English,3
18,English,2
18,English,2
18,English,2
18,English,3
18,English,4
18,English,4
19,English,3
19,English,1
19,English,4
19,English,2
19,English,1
19,English,2
19,English,3
19,English,4
19,English,1
19,English,1
19,English,2
19,English,4
19,English,2
19,English,3
19,English,4
19,English,1
19,English,3
19,English,1
19,English,3
19,English,1
19,English,2
19,English,4
19,English,2
19,English,2
20,English,2
20,English,2
20,English,4
20,English,1
20,English,2
20,English,1
20,English,3
20,English,3
20,English,4
20,English,4
20,English,3
20,English,3
20,English,4
20,English,2
20,English,3
20,English,1
20,English,2
20,English,4
20,English,3
20,English,2
20,English,1
20,English,1
20,English,4
20,English,1
21,English,3
21,English,2
21,English,2
21,English,1
21,English,1
21,English,3
21,English,1
21,English,3
21,English,3
21,English,4
21,English,3
21,English,1
21,English,3
21,English,4
21,English,2
21,English,4
21,English,1
21,English,3
21,English,2
21,English,1
21,English,2
21,English,3
21,English,4
21,English,4
22,English,1
22,English,1
22,English,1
22,English,2
22,English,1
22,English,2
22,English,3
22,English,4
22,English,3
22,English,3
22,English,2
22,English,1
22,English,2
22,English,4
22,English,3
22,English,3
22,English,3
22,English,1
22,English,2
22,English,2
22,English,4
22,English,4
22,English,3
22,English,3
23,English,3
23,English,2
23,English,1
23,English,2
23,English,1
23,English,1
23,English,3
23,English,2
23,English,4
23,English,4
23,English,3
23,English,3
23,English,2
23,English,3
23,English,1
23,English,3
23,English,4
23,English,2
23,English,4
23,English,2
23,English,1
23,English,3
23,English,3
23,English,2
24,English,1
24,English,4
24,English,2
24,English,2
24,English,3
24,English,2
24,English,4
24,English,3
24,English,4
24,English,3
24,English,3
24,English,2
24,English,2
24,English,4
24,English,2
24,English,3
24,English,2
24,English,2
24,English,4
24,English,2
24,English,1
24,English,3
24,English,2
24,English,3
25,English,3
25,English,1
25,English,4
25,English,2
25,English,1
25,English,3
25,English,2
25,English,3
25,English,4
25,English,1
25,English,1
25,English,3
25,English,4
25,English,4
25,English,2
25,English,2
25,English,4
25,English,2
25,English,3
25,English,1
25,English,3
25,English,1
25,English,2
25,English,4
26,English,2
26,English,3
26,English,1
26,English,4
26,English,3
26,English,2
26,English,4
26,English,4
26,English,2
26,English,1
26,English,4
26,English,3
26,English,3
26,English,2
26,English,4
26,English,3
26,English,2
26,English,3
26,English,2
26,English,1
26,English,4
26,English,2
26,English,2
26,English,1
27,English,2
27,English,1
27,English,1
27,English,4
27,English,3
27,English,1
27,English,4
